college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,LE,LEATHER TECHNOLOGY,171,162,156.5,158.5,157.5,118.999999999999,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PM,PHARMACEUTICAL TECHNOLOGY (SS),185,176,179,179,164.5,134,,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),185.5,178,178.5,179.5,174.5,162,164,0,0,0,0,0,0,0
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CHENNAI,CEG DEPTS,TX,TEXTILE TECHNOLOGY,175.5,164,154.5,160.5,164,119,,0,0,0,0,0,0,0
3,School of Architecture and Planning  Anna University Chennai 600025,CHENNAI,CEG DEPTS,BP,B.Plan,187,179,178,179,167,165.385,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AE,AERONAUTICAL ENGINEERING,196,193.5,190.5,194,191.5,175.5,168,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198,197.5,196,197,193.5,188,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,AU,AUTOMOBILE ENGINEERING,191.5,189,189,187.5,179.5,164,,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198,197.5,197,197,193,190.5,186.5,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,CS,COMPUTER SCIENCE AND ENGINEERING,199,198.5,198,197.5,195.5,190,194,0,0,0,0,0,0,0
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CHENGALPET,CEG DEPTS,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198,197.5,197,197,193.5,191,193.5,0,0,0,0,0,0,0
